season,week,team,pick_pct,win_prob,expected_value
2019,6,SF,0.001,0.39,0.57
2019,6,TB,0.001,0.462,0.67
2019,6,TEN,0.002,0.488,0.71
2019,6,WAS,0.046,0.684,0.97
2019,7,ARI,0.001,0.37200000000000005,0.61
2019,7,ATL,0,0.397,0.65
2019,7,BAL,0,0.41200000000000003,0.66
2019,7,BUF,0.64,0.892,1
2019,7,CAR,NA,NA,NA
2019,7,CHI,0.004,0.66,1.05
2019,7,CIN,0.001,0.358,0.6
2019,7,CLE,NA,NA,NA
2019,7,DAL,0.001,0.604,0.96
2019,7,DEN,0,0.41700000000000004,0.69
2019,7,DET,0,0.436,0.7
2019,7,GB,0.037000000000000005,0.684,1.03
2019,7,HOU,0.003,0.46799999999999997,0.74
2019,7,IND,0.001,0.532,0.85
2019,7,JAX,0.018000000000000002,0.642,0.99
2019,7,KC,0.015,0.583,0.91
2019,7,LAC,0.001,0.414,0.66
2019,7,LAR,0.006999999999999999,0.603,0.95
2019,7,MIA,0,0.10800000000000001,0.59
2019,7,MIN,0.003,0.564,0.9
2019,7,NE,0.024,0.7659999999999999,1.19
2019,7,NO,0.001,0.34,0.55
2019,7,NYG,0.006999999999999999,0.628,0.99
2019,7,NYJ,0,0.23399999999999999,0.41
2019,7,OAK,0,0.316,0.56
2019,7,PHI,0,0.396,0.63
2019,7,PIT,NA,NA,NA
2019,7,SEA,0.003,0.588,0.93
2019,7,SF,0.231,0.7759999999999999,0.99
2019,7,TB,NA,NA,NA
2019,7,TEN,0.001,0.586,0.94
2019,7,WAS,0,0.22399999999999998,0.6
2019,8,ARI,0,0.16399999999999998,0.23
2019,8,ATL,0,0.258,0.34
2019,8,BAL,NA,NA,NA
2019,8,BUF,0.001,0.52,0.67
2019,8,CAR,0,0.344,0.45
2019,8,CHI,0.001,0.627,0.81
2019,8,CIN,0,0.168,0.28
2019,8,CLE,0,0.226,0.3
2019,8,DAL,NA,NA,NA
2019,8,DEN,0,0.298,0.39
2019,8,DET,0.013000000000000001,0.711,0.91
2019,8,GB,0.002,0.6779999999999999,0.87
2019,8,HOU,0.006,0.685,0.88
2019,8,IND,0.013000000000000001,0.7020000000000001,0.9
2019,8,JAX,0.009000000000000001,0.731,0.94
2019,8,KC,0,0.322,0.42
2019,8,LAC,0,0.373,0.48
2019,8,LAR,0.185,0.8320000000000001,1.01
2019,8,MIA,0,0.155,0.28
2019,8,MIN,0.44799999999999995,0.884,1
2019,8,NE,0.019,0.774,0.99
2019,8,NO,0.049,0.836,1.06
2019,8,NYG,0,0.289,0.38
2019,8,NYJ,0,0.26899999999999996,0.35
2019,8,OAK,0,0.315,0.41
2019,8,PHI,0.001,0.48,0.62
2019,8,PIT,0.233,0.845,1.01
2019,8,SEA,0.016,0.742,0.95
2019,8,SF,0.002,0.6559999999999999,0.85
2019,8,TB,0,0.447,0.58
2019,8,TEN,0.001,0.5529999999999999,0.71
2019,8,WAS,0,0.11599999999999999,0.29
2019,9,ARI,0.001,0.21,0.56
2019,9,ATL,NA,NA,NA
2019,9,BAL,0,0.40399999999999997,0.63
2019,9,BUF,0.19399999999999998,0.809,1.15
2019,9,CAR,0.023,0.623,0.96
2019,9,CHI,0,0.326,0.52
2019,9,CIN,NA,NA,NA
2019,9,CLE,0.031,0.639,0.97
2019,9,DAL,0.037000000000000005,0.735,1.12
2019,9,DEN,0.001,0.361,0.59
2019,9,DET,0.002,0.426,0.67
2019,9,GB,0.07200000000000001,0.655,0.97
2019,9,HOU,0.006,0.486,0.76
2019,9,IND,0.009000000000000001,0.466,0.72
2019,9,JAX,0.001,0.514,0.81
2019,9,KC,0.003,0.322,0.5
2019,9,LAC,0,0.345,0.59
2019,9,LAR,NA,NA,NA
2019,9,MIA,0.002,0.377,0.61
2019,9,MIN,0.002,0.6779999999999999,1.06
2019,9,NE,0.004,0.596,0.93
2019,9,NO,NA,NA,NA
2019,9,NYG,0,0.265,0.44
2019,9,NYJ,0.036000000000000004,0.623,0.95
2019,9,OAK,0.004,0.574,0.9
2019,9,PHI,0.012,0.674,1.04
2019,9,PIT,0.004,0.534,0.84
2019,9,SEA,0.174,0.653,0.89
2019,9,SF,0.384,0.79,1
2019,9,TB,0,0.34700000000000003,0.67
2019,9,TEN,0,0.377,0.61
2019,9,WAS,0,0.191,0.42
2019,10,ARI,0,0.324,0.49
2019,10,ATL,0,0.147,0.48
2019,10,BAL,0.076,0.7979999999999999,1.13
2019,10,BUF,0.002,0.415,0.62
2019,10,CAR,0,0.326,0.5
2019,10,CHI,0.024,0.7120000000000001,1.04
2019,10,CIN,0,0.20199999999999999,0.36
2019,10,CLE,0.005,0.585,0.87
2019,10,DAL,0.001,0.624,0.93
2019,10,DEN,NA,NA,NA
2019,10,DET,0.001,0.28800000000000003,0.45
2019,10,GB,0.019,0.674,0.98
2019,10,HOU,NA,NA,NA
2019,10,IND,0.335,0.807,0.98
2019,10,JAX,NA,NA,NA
2019,10,KC,0.031,0.703,1.02
2019,10,LAC,0.002,0.534,0.79
2019,10,LAR,0.006999999999999999,0.6579999999999999,0.97
2019,10,MIA,0,0.193,0.5
2019,10,MIN,0,0.376,0.56
2019,10,NE,NA,NA,NA
2019,10,NO,0.46799999999999997,0.853,1
2019,10,NYG,0.011000000000000001,0.59,0.87
2019,10,NYJ,0.001,0.41,0.62
2019,10,OAK,0.002,0.466,0.69
2019,10,PHI,NA,NA,NA
2019,10,PIT,0,0.342,0.51
2019,10,SEA,0.001,0.293,0.44
2019,10,SF,0.002,0.7070000000000001,1.05
2019,10,TB,0.011000000000000001,0.6759999999999999,0.99
2019,10,TEN,0,0.297,0.47
2019,10,WAS,NA,NA,NA
2019,11,ARI,0,0.209,0.37
2019,11,ATL,0.002,0.35600000000000004,0.55
2019,11,BAL,0.004,0.6779999999999999,1.01
2019,11,BUF,0.025,0.7390000000000001,1.09
2019,11,CAR,0.023,0.644,0.95
2019,11,CHI,0.001,0.307,0.48
2019,11,CIN,0,0.168,0.53
2019,11,CLE,0.005,0.607,0.91
2019,11,DAL,0.019,0.755,1.12
2019,11,DEN,0,0.203,0.42
2019,11,DET,0,0.245,0.38
2019,11,GB,NA,NA,NA
2019,11,HOU,0,0.322,0.48
2019,11,IND,0.004,0.557,0.83
2019,11,JAX,0.002,0.44299999999999995,0.67
2019,11,KC,0.012,0.6970000000000001,1.04
2019,11,LAC,0,0.303,0.46
2019,11,LAR,0.024,0.693,1.02
2019,11,MIA,0.001,0.261,0.41
2019,11,MIN,0.192,0.797,1.08
2019,11,NE,0.006,0.6609999999999999,0.99
2019,11,NO,0.035,0.6759999999999999,0.99
2019,11,NYG,NA,NA,NA
2019,11,NYJ,0.005,0.469,0.71
2019,11,OAK,0.522,0.8320000000000001,0.96
2019,11,PHI,0,0.33899999999999997,0.51
