season,week,date,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
2019,2,2019-09-15,TEN,IND,1553.47379093182,1547.09912301326,0.6012954191334732,0.3987045808665268
2019,2,2019-09-15,CIN,SF,1425.50782652535,1457.75678181037,0.5469934314024829,0.4530065685975171
2019,2,2019-09-15,PIT,SEA,1551.69443581324,1568.43733721152,0.569004376445462,0.430995623554538
2019,2,2019-09-15,GB,MIN,1489.80727052204,1559.31605609263,0.49351170020322305,0.506488299796777
2019,2,2019-09-15,DET,LAC,1488.69448229988,1599.72736029222,0.43413830208607945,0.5658616979139206
2019,2,2019-09-15,HOU,JAX,1509.57066983197,1435.17777134696,0.6904897727363537,0.3095102272636463
2019,2,2019-09-15,NYG,BUF,1427.71782881766,1455.39081751318,0.5535121585662888,0.44648784143371123
2019,2,2019-09-15,MIA,NE,1387.16030057606,1661.35527196907,0.23072481027334826,0.7692751897266518
2019,2,2019-09-15,OAK,KC,1425.87140811396,1622.14872852822,0.3195820914825713,0.6804179085174287
2019,2,2019-09-15,DEN,CHI,1428.73340426133,1554.22203086172,0.41381885704756305,0.586181142952437
2019,2,2019-09-15,LAR,NO,1611.2527156438,1616.75446431035,0.5847975451665666,0.41520245483343343
2019,2,2019-09-15,ATL,PHI,1499.42372277767,1589.200033619,0.46440434137888753,0.5355956586211125
2019,2,2019-09-16,NYJ,CLE,1377.99930635302,1421.31981397536,0.5311588680791258,0.4688411319208742
2019,3,2019-09-19,JAX,TEN,1431.14271155562,1539.81897663855,0.43747382466748225,0.5625261753325177
2019,3,2019-09-22,BUF,CIN,1485.88701536035,1389.76159956327,0.7165703433881626,0.2834296566118374
2019,3,2019-09-22,DAL,MIA,1580.75267121279,1371.21444164375,0.8292567833682122,0.17074321663178782
2019,3,2019-09-22,MIN,OAK,1541.12867786265,1408.11137665204,0.7576574620065255,0.2423425379934745
2019,3,2019-09-22,IND,ATL,1560.75393730653,1516.86025143112,0.6517731517758779,0.3482268482241221
2019,3,2019-09-22,GB,DEN,1507.99464875202,1419.88418247957,0.7071070102530641,0.2928929897469359
2019,3,2019-09-22,KC,BAL,1639.90875999014,1604.36062171603,0.6407916104033325,0.35920838959666745
2019,3,2019-09-22,PHI,DET,1571.76350496555,1504.71879316841,0.6813777159089712,0.3186222840910288
2019,3,2019-09-22,NE,NYJ,1677.30113090138,1345.33491936636,0.9076372640184991,0.09236273598150091
2019,3,2019-09-22,TB,NYG,1439.76273979713,1397.22163097049,0.6500039077038455,0.34999609229615447
2019,3,2019-09-22,ARI,CAR,1379.76243769626,1476.02669457636,0.4551281678954752,0.5448718321045247
2019,3,2019-09-22,SF,PIT,1493.50300877245,1538.91174286514,0.5281642537223823,0.4718357462776177
2019,3,2019-09-22,SEA,NO,1581.22003015962,1592.94754840432,0.5760700542310849,0.4239299457689151
2019,3,2019-09-22,LAC,HOU,1583.70304942369,1513.60572962331,0.6851804650994758,0.31481953490052417
2019,3,2019-09-22,CLE,LAR,1453.98420096202,1635.05963154983,0.33890361733235375,0.6610963826676463
2019,3,2019-09-23,WAS,CHI,1414.22795853294,1563.07125264348,0.3816287334631154,0.6183712665368846
2019,4,2019-09-26,GB,PHI,1521.60374910091,1551.66540903822,0.5501115103543194,0.4498884896456806
2019,4,2019-09-29,ATL,TEN,1507.66070428972,1509.52681443155,0.5898699741381169,0.4101300258618831
2019,4,2019-09-29,NYG,WAS,1406.69571365219,1393.39712158012,0.6108111026305229,0.38918889736947715
2019,4,2019-09-29,BUF,NE,1494.38768499845,1681.73479150744,0.33086252864591703,0.669137471354083
2019,4,2019-09-29,IND,OAK,1569.95348444793,1394.57354231565,0.7995906971312478,0.20040930286875225
2019,4,2019-09-29,HOU,CAR,1543.96594000943,1502.45309073862,0.6486561180316924,0.35134388196830757
2019,4,2019-09-29,MIA,LAC,1361.32285598972,1553.34283903757,0.32493456601386533,0.6750654339861346
2019,4,2019-09-29,BAL,CLE,1592.05091995311,1440.59597920863,0.7766092416318191,0.2233907583681809
2019,4,2019-09-29,DET,KC,1524.81688909574,1652.21846175305,0.4111502526180228,0.5888497473819772
2019,4,2019-09-29,LAR,TB,1648.44785330322,1430.28865711543,0.8361690031716856,0.16383099682831437
2019,4,2019-09-29,ARI,SEA,1353.336041534,1558.24406118126,0.30887686558674077,0.6911231344132592
2019,4,2019-09-29,CHI,MIN,1583.9020895963,1554.66651219904,0.6323853250790231,0.3676146749209769
2019,4,2019-09-29,DEN,JAX,1406.27508213068,1461.43487376262,0.51415741289543,0.48584258710456996
2019,4,2019-09-29,NO,DAL,1615.92351738268,1590.64425686682,0.6270750876971939,0.3729249123028061
2019,4,2019-09-30,PIT,CIN,1523.85799156991,1381.26092992517,0.7676385317725818,0.2323614682274182
2019,5,2019-10-03,SEA,LAR,1575.03182989028,1595.23137298171,0.5641180677759954,0.4358819322240046
2019,5,2019-10-06,HOU,ATL,1517.43701337764,1474.76884936333,0.6501702794591802,0.34982972054081984
2019,5,2019-10-06,NYG,MIN,1429.92882891046,1537.76063470542,0.4386704560532147,0.5613295439467854
2019,5,2019-10-06,TEN,BUF,1542.41866935794,1482.18948042011,0.672800144237976,0.32719985576202404
2019,5,2019-10-06,OAK,CHI,1431.90674506192,1600.80796708992,0.2744275595059409,0.7255724404940591
2019,5,2019-10-06,PIT,BAL,1537.52700615854,1544.28714838912,0.5830375859960025,0.4169624140039975
2019,5,2019-10-06,PHI,NYJ,1574.91310166869,1340.9012587603,0.8482898424233134,0.1517101575766866
2019,5,2019-10-06,WAS,NE,1370.16400632185,1693.93299608578,0.18398266672621238,0.8160173332737877
2019,5,2019-10-06,NO,TB,1623.79452050997,1483.50513743694,0.7652606388504105,0.2347393611495895
2019,5,2019-10-06,CIN,ARI,1367.59191533654,1336.54827282498,0.6348015784937676,0.3651984215062324
2019,5,2019-10-06,CAR,JAX,1528.98201737041,1472.78282416701,0.6676728957356927,0.33232710426430734
2019,5,2019-10-06,LAC,DEN,1572.04826731323,1394.92713172629,0.8011920334328384,0.1988079665671616
2019,5,2019-10-06,DAL,GB,1582.77325373953,1498.35605647044,0.7026845819022682,0.29731541809773177
2019,5,2019-10-06,KC,IND,1665.08784610098,1532.62028170166,0.7570759389155217,0.24292406108447828
2019,5,2019-10-07,SF,CLE,1508.55676006768,1488.35975077262,0.6202085270941381,0.3797914729058619
2019,6,2019-10-10,NE,NYG,1704.7841910382,1404.58939462703,0.891119756994916,0.10888024300508403
2019,6,2019-10-13,TB,CAR,1474.57582588342,1542.08145781245,0.4040558955602119,0.5959441044397882
2019,6,2019-10-13,KC,HOU,1632.71839430792,1538.05475015541,0.714858244098631,0.28514175590136903
2019,6,2019-10-13,BAL,CIN,1560.89195622049,1349.18803485451,0.831014707855256,0.168985292144744
2019,6,2019-10-13,CLE,SEA,1463.73592601604,1580.95384161463,0.42541314054403734,0.5745868594559627
2019,6,2019-10-13,JAX,NO,1459.68338372497,1632.72383206349,0.34934244528893527,0.6506575547110647
2019,6,2019-10-13,MIN,PHI,1563.10006898885,1583.61598116315,0.5636702109423039,0.43632978905769615
2019,6,2019-10-13,MIA,WAS,1342.6174277140601,1359.31281136943,0.5690714562468242,0.4309285437531758
2019,6,2019-10-13,ARI,ATL,1354.95215330701,1454.15111258556,0.4509420791938188,0.5490579208061812
2019,6,2019-10-13,LAR,SF,1589.30936125736,1533.18058482426,0.6675829478785129,0.3324170521214871
2019,6,2019-10-13,DEN,TEN,1432.36836938837,1512.74882017963,0.4778801995543884,0.5221198004456116
2019,6,2019-10-13,NYJ,DAL,1332.19837926584,1546.61845055939,0.29731196170918905,0.702688038290811
2019,6,2019-10-13,LAC,PIT,1534.60702965115,1520.92219832717,0.6113395141842494,0.38866048581575063
2019,6,2019-10-14,GB,DET,1534.51085965058,1511.94750474781,0.6234118414065575,0.3765881585934425
2019,7,2019-10-17,DEN,KC,1462.16219715101,1600.66178722108,0.39577574756040773,0.6042242524395922
2019,7,2019-10-20,WAS,SF,1367.37892158696,1570.46944845233,0.31111473384608784,0.6888852661539122
2019,7,2019-10-20,DET,MIN,1506.92671925949,1588.2857424397,0.4764748557113154,0.5235251442886846
2019,7,2019-10-20,IND,HOU,1564.98973349472,1570.11135724225,0.5853287557775594,0.4146712442224406
2019,7,2019-10-20,NYG,ARI,1398.81659640797,1362.68390219579,0.6415657850598714,0.3584342149401286
2019,7,2019-10-20,CIN,JAX,1343.34618655916,1445.83473713159,0.44625804199252067,0.5537419580074794
2019,7,2019-10-20,GB,OAK,1539.5316451389,1453.69677700177,0.7043866965351835,0.2956133034648165
2019,7,2019-10-20,ATL,LAR,1446.41936369678,1552.02049762929,0.44183480122716173,0.5581651987728382
2019,7,2019-10-20,BUF,MIA,1511.85932959842,1334.55131749653,0.8013633266223047,0.1986366733776953
2019,7,2019-10-20,TEN,LAC,1482.95499241699,1508.23906169051,0.5569081586211398,0.44309184137886015
2019,7,2019-10-20,CHI,NO,1579.01793515007,1646.57247865687,0.49632378262164695,0.5036762173783531
2019,7,2019-10-20,SEA,BAL,1594.32987659432,1566.73380451584,0.6301885637331487,0.3698114362668513
2019,7,2019-10-20,DAL,PHI,1530.05377295819,1558.4303077123,0.5525110560087684,0.4474889439912316
2019,7,2019-10-21,NYJ,NE,1348.76305686704,1710.55698925726,0.15336055377353527,0.8466394462264647
2019,8,2019-10-24,MIN,WAS,1612.54800768542,1353.89775044928,0.8656556182848676,0.1343443817151324
2019,8,2019-10-27,CHI,LAC,1554.38017807527,1496.1717939802,0.6702341941131316,0.32976580588686843
2019,8,2019-10-27,LAR,CIN,1580.93260134316,1322.30316394391,0.8158966965779668,0.18410330342203318
2019,8,2019-10-27,BUF,PHI,1520.4404083405,1529.09614090863,0.5803824729098152,0.41961752709018485
2019,8,2019-10-27,TEN,TB,1495.0222601273,1455.09282598453,0.6465760226468399,0.3534239773531601
2019,8,2019-10-27,ATL,SEA,1417.50725998291,1558.69853950601,0.3920764563229889,0.6079235436770112
2019,8,2019-10-27,JAX,NYJ,1466.87775974684,1339.23267383576,0.75193410134021,0.24806589865979
2019,8,2019-10-27,DET,NYG,1482.66445401377,1372.64491216874,0.7325293308830785,0.2674706691169215
2019,8,2019-10-27,NO,ARI,1671.21023573167,1388.85558643502,0.8807481521184674,0.11925184788153265
2019,8,2019-10-27,IND,DEN,1581.77847898618,1437.50684571658,0.7693535073599884,0.23064649264001158
2019,8,2019-10-27,SF,CAR,1583.95061959001,1561.56445771134,0.6231723451884565,0.37682765481154346
2019,8,2019-10-27,HOU,OAK,1553.32261175079,1437.4054265576,0.7391283445296655,0.26087165547033453
2019,8,2019-10-27,NE,CLE,1720.08737228854,1450.35989103635,0.8728999387381564,0.1271000612618436
2019,8,2019-10-27,KC,GB,1625.31713865551,1555.82299558307,0.6844310096627424,0.3155689903372576
2019,8,2019-10-28,PIT,MIA,1547.29016628781,1325.97023875445,0.8386462726501114,0.16135372734988862
2019,9,2019-10-31,ARI,SF,1382.39704596737,1610.5064238178,0.28111591089135607,0.7188840891086439
2019,9,2019-11-03,JAX,HOU,1479.23149163593,1560.0059083883,0.38580630021157425,0.6141936997884258
2019,9,2019-11-03,PIT,IND,1554.82586441449,1586.40610460413,0.5479471150645824,0.4520528849354176
2019,9,2019-11-03,BUF,WAS,1485.36405116043,1348.28115389261,0.7619286807502131,0.23807131924978686
2019,9,2019-11-03,KC,MIN,1594.99899269535,1618.16460424209,0.5599152468158894,0.44008475318411056
2019,9,2019-11-03,PHI,CHI,1564.1724980887,1544.53753363763,0.6194461353785632,0.3805538646214368
2019,9,2019-11-03,MIA,NYJ,1318.43454062777,1326.87894194667,0.5806787136652244,0.4193212863347756
2019,9,2019-11-03,CAR,TEN,1535.00865348355,1505.88064622587,0.6322413598402246,0.36775864015977544
2019,9,2019-11-03,SEA,TB,1574.45872778087,1444.23443988596,0.7546931445963736,0.2453068554036264
2019,9,2019-11-03,OAK,DET,1430.72212992009,1491.54299004694,0.5060139756910399,0.4939860243089601
2019,9,2019-11-03,LAC,GB,1506.01443841784,1586.14114154323,0.4782446688171065,0.5217553311828935
2019,9,2019-11-03,DEN,CLE,1432.87922009863,1444.38508413649,0.5763816265461266,0.42361837345387343
2019,9,2019-11-03,BAL,NE,1602.36514160415,1726.0621791884,0.41632276598683593,0.5836772340131641
2019,9,2019-11-04,NYG,DAL,1363.76637613557,1559.38793976186,0.3204034864220307,0.6795965135779694
2019,10,2019-11-07,OAK,LAC,1451.22747897295,1535.14700631517,0.47279949226572804,0.527200507734272
2019,10,2019-11-10,NYJ,NYG,1308.91390992458,1345.64541839974,0.5405920960446091,0.4594079039553909
2019,10,2019-11-10,TB,ARI,1435.46566424899,1375.14083774753,0.6729213273374816,0.32707867266251844
2019,10,2019-11-10,CHI,DET,1528.43380504916,1471.03764099408,0.6691999891570246,0.3308000108429754
2019,10,2019-11-10,TEN,KC,1488.96735503762,1606.97303888513,0.42430505535972257,0.5756949446402775
2019,10,2019-11-10,CLE,BUF,1429.56499755453,1497.45491182391,0.4958411749631245,0.5041588250368755
2019,10,2019-11-10,NO,ATL,1677.66877619932,1401.74707170805,0.8768035886005144,0.12319641139948556
2019,10,2019-11-10,CIN,BAL,1313.38084196567,1637.03092491053,0.18408545242354554,0.8159145475764544
2019,10,2019-11-10,IND,MIA,1576.62211415504,1336.39957264986,0.8528338073898538,0.14716619261014618
2019,10,2019-11-10,GB,CAR,1557.0085736459,1551.9219446718,0.5995165331016619,0.40048346689833814
2019,10,2019-11-10,PIT,LAR,1564.60985486358,1589.8549233214,0.5569635575249124,0.44303644247508756
2019,10,2019-11-10,DAL,MIN,1577.50889749769,1606.19055805231,0.5520767479797367,0.4479232520202633
2019,10,2019-11-11,SF,SEA,1617.76263203764,1583.22750341784,0.63944826391879,0.36055173608121005
2019,11,2019-11-14,CLE,PIT,1443.56163422515,1580.20435054384,0.3983347185575914,0.6016652814424086
2019,11,2019-11-17,DET,DAL,1458.00511493845,1559.43994416749,0.4477574341175583,0.5522425658824417
2019,11,2019-11-17,BAL,HOU,1648.92670802252,1583.65970771662,0.6791519263801795,0.3208480736198205
2019,11,2019-11-17,IND,JAX,1544.7483685157,1455.57769230761,0.708369395019957,0.291630604980043
2019,11,2019-11-17,CAR,ATL,1534.86625498031,1461.72770123654,0.6889445156759428,0.31105548432405716
2019,11,2019-11-17,TB,NO,1444.04545569706,1617.68814667083,0.3485548487097844,0.6514451512902155
2019,11,2019-11-17,MIA,BUF,1368.2733182892,1483.45827515329,0.4282761655142653,0.5717238344857347
2019,11,2019-11-17,MIN,DEN,1624.25951138251,1447.69930668059,0.8006772107735222,0.19932278922647784
2019,11,2019-11-17,WAS,NYJ,1336.19029322913,1327.77775998688,0.6041044050603176,0.3958955949396824
2019,11,2019-11-17,SF,ARI,1599.19322127463,1366.56104629946,0.8472649226303978,0.15273507736960223
2019,11,2019-11-17,PHI,NE,1580.27622667717,1691.39639588202,0.43401486369755227,0.5659851363024477
2019,11,2019-11-17,OAK,CIN,1462.9117402373,1301.48505885368,0.7864094553772621,0.21359054462273785
2019,11,2019-11-17,LAR,CHI,1574.26042764114,1541.46633110479,0.6371343925122516,0.36286560748774843
2019,11,2019-11-18,LAC,KC,1523.46274505082,1590.61731936741,0.40454259980391,0.59545740019609
2019,12,2019-11-21,HOU,IND,1562.12055818449,1561.34297692363,0.5935465402169133,0.40645345978308667
2019,12,2019-11-24,PHI,SEA,1562.59668477878,1601.79691418085,0.5370607592802287,0.46293924071977133
2019,12,2019-11-24,CLE,MIA,1477.24533533659,1344.06792908211,0.7578266463299154,0.24217335367008463
2019,12,2019-11-24,WAS,DET,1300.0630241212,1438.64920098689,0.39565655967177177,0.6043434403282282
2019,12,2019-11-24,CHI,NYG,1524.80469725719,1326.78156833744,0.8196654953974114,0.1803345046025886
2019,12,2019-11-24,BUF,DEN,1507.66366436038,1441.91812760513,0.679751886723286,0.320248113276714
2019,12,2019-11-24,CIN,PIT,1293.43101031742,1546.5206494324,0.25298954865193773,0.7470104513480622
2019,12,2019-11-24,NO,CAR,1636.88901139018,1486.41074675456,0.7756323445944704,0.2243676554055296
2019,12,2019-11-24,NYJ,OAK,1363.90502909481,1470.96578877356,0.4397636818239559,0.5602363181760441
2019,12,2019-11-24,ATL,TB,1510.1832094623,1424.84459097771,0.7037915219493683,0.29620847805063166
2019,12,2019-11-24,TEN,JAX,1505.32307455534,1438.98308389968,0.6804963502114997,0.3195036497885003
2019,12,2019-11-24,NE,DAL,1709.07593778041,1578.79585811905,0.7547525971307849,0.2452474028692151
2019,12,2019-11-24,SF,GB,1605.64520401337,1574.06426333739,0.6355183101127875,0.3644816898872125
2019,12,2019-11-25,LAR,BAL,1590.92206148874,1670.46585755465,0.4790820117169616,0.5209179882830384
2019,13,2019-11-28,DET,CHI,1421.31339017093,1530.57691527174,0.4366420824641395,0.5633579175358605
2019,13,2019-11-28,DAL,BUF,1571.5452402293,1525.13789646837,0.6550500300249075,0.34494996997509253
2019,13,2019-11-28,ATL,NO,1470.31163242233,1642.55486369059,0.35038628959686097,0.649613710403139
2019,13,2019-12-01,NYG,GB,1321.00935032289,1550.31345077796,0.2797281581475998,0.7202718418524001
2019,13,2019-12-01,CIN,NYJ,1284.36058993638,1403.49454476315,0.4227193417541543,0.5772806582458456
2019,13,2019-12-01,IND,TEN,1550.40085165208,1524.23034736643,0.6282740600015553,0.3717259399984447
2019,13,2019-12-01,JAX,TB,1420.07581108859,1464.71616801768,0.5292663897127122,0.4707336102872878
2019,13,2019-12-01,PIT,CLE,1555.59106981344,1490.08789022267,0.6794481079561834,0.3205518920438166
2019,13,2019-12-01,BAL,SF,1705.57924519318,1629.3960165728,0.6926879639834055,0.3073120360165945
2019,13,2019-12-01,CAR,WAS,1480.74489445415,1317.39883493716,0.7882594498699627,0.21174055013003734
2019,13,2019-12-01,MIA,PHI,1331.22537419603,1538.71576723971,0.3057125816613984,0.6942874183386016
2019,13,2019-12-01,ARI,LAR,1360.10906356072,1555.80867385021,0.32030566738918065,0.6796943326108194
2019,13,2019-12-01,KC,OAK,1606.943421992,1431.37627310522,0.7997633296427002,0.20023667035729975
2019,13,2019-12-01,DEN,LAC,1424.44389549714,1507.13664242623,0.474560077185128,0.5254399228148721
2019,13,2019-12-01,HOU,NE,1573.06268345604,1716.32655567016,0.38923641016884625,0.6107635898311538
2019,13,2019-12-02,SEA,MIN,1625.67783171992,1630.04069045797,0.5863885077940385,0.4136114922059615
2019,14,2019-12-05,CHI,DAL,1544.354676131,1537.25397739718,0.6022969524944486,0.3977030475055514
2019,14,2019-12-08,ATL,CAR,1455.62978020505,1442.0934597148,0.6111363683113797,0.38886363168862026
2019,14,2019-12-08,CLE,CIN,1477.50304040896,1317.89698322011,0.7846437902472198,0.21535620975278025
2019,14,2019-12-08,BUF,BAL,1559.42915930049,1713.58592200803,0.3744372103134439,0.6255627896865561
2019,14,2019-12-08,HOU,DEN,1597.70929540402,1439.13029387094,0.7836430765873041,0.21635692341269586
2019,14,2019-12-08,MIN,DET,1613.30047162954,1407.53562931167,0.8261592245465791,0.17384077545342091
2019,14,2019-12-08,NO,SF,1657.23671590787,1621.38933975795,0.6411880071933855,0.35881199280661447
2019,14,2019-12-08,TB,IND,1495.59748809239,1514.90177564254,0.5653848359682444,0.4346151640317556
2019,14,2019-12-08,GB,WAS,1565.64154231217,1356.05026967651,0.82930001216524,0.17069998783476004
2019,14,2019-12-08,NYJ,MIA,1369.95815147942,1360.1170599904,0.606069448872402,0.393930551127598
2019,14,2019-12-08,JAX,LAC,1389.19449101388,1492.45024405243,0.44516696498408864,0.5548330350159114
2019,14,2019-12-08,NE,KC,1691.67994372218,1619.45468044459,0.6878167539591544,0.3121832460408456
2019,14,2019-12-08,ARI,PIT,1339.95963918571,1568.17591962715,0.2809915654926152,0.7190084345073848
2019,14,2019-12-08,OAK,TEN,1418.86501465263,1559.72942337597,0.392525036030865,0.607474963969135
2019,14,2019-12-08,LAR,SEA,1575.95809822522,1642.41805054835,0.4978989720814466,0.5021010279185534
2019,14,2019-12-09,PHI,NYG,1509.82408144534,1305.68125878868,0.8248141428488568,0.1751858571511432
2019,15,2019-12-12,BAL,NYJ,1728.55182268931,1375.23952321232,0.9174352493365332,0.0825647506634668
2019,15,2019-12-15,GB,CHI,1571.07983275278,1560.36981599811,0.6072630216876754,0.39273697831232457
2019,15,2019-12-15,KC,DEN,1649.96314414374,1486.37446446151,0.7884924632905496,0.21150753670945044
2019,15,2019-12-15,CAR,SEA,1419.2315119746,1613.94797073783,0.3215390424371997,0.6784609575628002
2019,15,2019-12-15,DET,TB,1399.36563528767,1507.40238227455,0.4383799803777538,0.5616200196222463
2019,15,2019-12-15,WAS,PHI,1350.6119792359,1515.89882977825,0.3595546715832057,0.6404453284167944
2019,15,2019-12-15,NYG,MIA,1299.60651045577,1354.8356882575,0.5140576376638823,0.48594236233611765
2019,15,2019-12-15,TEN,HOU,1583.18675590069,1550.46512481345,0.6370379455884684,0.3629620544115316
2019,15,2019-12-15,CIN,NE,1309.30994614491,1661.17148002303,0.16093228456594047,0.8390677154340596
2019,15,2019-12-15,LAC,MIN,1523.81021124819,1621.47046565354,0.45313607536446976,0.5468639246355302
2019,15,2019-12-15,OAK,JAX,1395.40768212791,1357.83452381812,0.643470354459037,0.356529645540963
2019,15,2019-12-15,ARI,CLE,1329.77922907297,1486.09007748416,0.3715372812686588,0.6284627187313412
2019,15,2019-12-15,SF,ATL,1636.15451152584,1478.49172794525,0.7827475205456637,0.21725247945433634
2019,15,2019-12-15,DAL,LAR,1521.23883753007,1604.42817803574,0.47384732397085677,0.5261526760291433
2019,15,2019-12-15,PIT,BUF,1578.35632973989,1544.46325861921,0.6385957018208929,0.36140429817910713
2019,15,2019-12-16,NO,IND,1642.47154413998,1503.09688146038,0.7643134308211695,0.23568656917883046
2019,16,2019-12-21,TB,HOU,1533.98342237668,1568.9485823295,0.5431162584757772,0.45688374152422284
2019,16,2019-12-21,NE,BUF,1669.97282852798,1572.2717371635,0.7184088761475821,0.2815911238524179
2019,16,2019-12-21,SF,LAR,1599.93518652474,1570.70654096997,0.6323760486398666,0.36762395136013337
2019,16,2019-12-22,WAS,NYG,1334.12026400815,1327.02032565761,0.6022959040195557,0.3977040959804443
2019,16,2019-12-22,TEN,NO,1564.70329838464,1656.84353777467,0.4610213074717276,0.5389786925282725
2019,16,2019-12-22,IND,CAR,1488.72488782569,1407.41454271198,0.6989346821277662,0.3010653178722338
2019,16,2019-12-22,NYJ,PIT,1370.95077179863,1550.5478511956,0.3408128878857476,0.6591871121142524
2019,16,2019-12-22,ATL,JAX,1514.71105294635,1379.55996605524,0.7599056432141231,0.24009435678587687
2019,16,2019-12-22,CLE,BAL,1450.57797842262,1732.840574103,0.22258521232039077,0.7774147876796093
2019,16,2019-12-22,MIA,CIN,1327.42187305566,1300.50859763996,0.6292720907423817,0.37072790925761834
2019,16,2019-12-22,LAC,OAK,1493.43701401806,1373.68223989079,0.7433653125023847,0.2566346874976153
2019,16,2019-12-22,DEN,DET,1474.70787980991,1372.78459518554,0.7232994956665749,0.2767005043334251
2019,16,2019-12-22,SEA,ARI,1625.76494000045,1365.29132813451,0.8668715912557412,0.1331284087442588
2019,16,2019-12-22,PHI,DAL,1532.390545006,1554.96047459584,0.5607600180499548,0.4392399819500452
2019,16,2019-12-22,CHI,KC,1543.68536203331,1661.62972879534,0.4243912776237294,0.5756087223762706
2019,16,2019-12-23,MIN,GB,1651.84366288367,1587.76428671758,0.6776603976191977,0.3223396023808023
2019,17,2019-12-29,NE,MIA,1680.87742430832,1337.28842109985,0.9130952388613001,0.08690476113869994
2019,17,2019-12-29,DET,GB,1360.45046134698,1625.76136068786,0.23992655210555824,0.7600734478944418
2019,17,2019-12-29,TB,ATL,1518.71661676158,1526.00055645277,0.5823043885071284,0.4176956114928716
2019,17,2019-12-29,MIN,CHI,1613.84658891339,1517.34450462293,0.7170105079284214,0.28298949207157864
2019,17,2019-12-29,CAR,NO,1387.67384849579,1678.68372320571,0.21399383647561368,0.7860061635243863
2019,17,2019-12-29,KC,LAC,1687.97058620572,1459.68701355604,0.8439972967427625,0.15600270325723753
2019,17,2019-12-29,CIN,CLE,1290.64204959577,1439.09896849877,0.38215374577898775,0.6178462542210122
2019,17,2019-12-29,BUF,NYJ,1561.36714138316,1398.01490922375,0.7882653804284206,0.21173461957157935
2019,17,2019-12-29,DEN,OAK,1487.04201364847,1407.43224035281,0.6968707704833724,0.3031292295166276
2019,17,2019-12-29,JAX,IND,1368.27046254882,1508.46558204188,0.39344409760685806,0.6065559023931419
2019,17,2019-12-29,BAL,PIT,1744.31958402685,1523.48371377048,0.8382688569200891,0.16173114307991088
2019,17,2019-12-29,LAR,ARI,1560.93247572242,1420.39399261721,0.7655181283606773,0.23448187163932266
2019,17,2019-12-29,DAL,WAS,1536.02352247293,1309.88575963761,0.8423640046012155,0.15763599539878448
2019,17,2019-12-29,NYG,PHI,1351.25483002815,1551.32749712891,0.31485014736113587,0.6851498526388642
2019,17,2019-12-29,HOU,TEN,1584.2153879446,1542.8631129536,0.6484454307871061,0.35155456921289385
2019,17,2019-12-29,SEA,SF,1570.66227551775,1609.70925177229,0.5372800894069923,0.46271991059300766
2019,18,2020-01-04,HOU,BUF,1542.09159482626,1524.78724135976,0.6162785001753872,0.3837214998246128
2019,18,2020-01-04,NE,TEN,1649.7868334529,1584.98690607194,0.6785657669658507,0.3214342330341493
2019,18,2020-01-05,NO,MIN,1692.25422318856,1596.84410480098,0.7157333282561831,0.2842666717438169
2019,18,2020-01-05,PHI,SEA,1568.47535527305,1551.17889970902,0.616267748827622,0.38373225117237797
