season,week,team,expected_value
2019,4,BUF,0.5749602484112194
2019,4,ARI,0.546077027935025
2019,4,TB,0.4928286714349353
2019,4,CLE,0.4077308689722252
2019,4,CIN,0.400601344165966
2019,4,OAK,0.39096686222479027
2019,5,LAC,1.1496535659387614
2019,5,NO,1.1067486349557223
2019,5,NE,1.1009058284630338
2019,5,CHI,1.0255472450518313
2019,5,DAL,1.0215290798339223
2019,5,PHI,1.0068254709418276
2019,5,TEN,0.9773174152921087
2019,5,CAR,0.9698478684020146
2019,5,KC,0.9673409577916312
2019,5,HOU,0.9370077411207081
2019,5,CIN,0.9234448805507838
2019,5,SF,0.8976975520985849
2019,5,PIT,0.8527395690303666
2019,5,SEA,0.8206216861495366
2019,5,MIN,0.7971379068050668
2019,5,NYG,0.6575605562042687
2019,5,LAR,0.6340767768597989
2019,5,BAL,0.6019588939789688
2019,5,CLE,0.5570009109107505
2019,5,ARI,0.5312535824585517
2019,5,ATL,0.5176907218886275
2019,5,IND,0.48735750521770427
2019,5,JAX,0.48485059460732083
2019,5,BUF,0.4773810477172268
2019,5,NYJ,0.4478729920675079
2019,5,GB,0.43316938317541326
2019,5,OAK,0.4291512179575042
2019,5,WAS,0.3537926345463017
2019,5,TB,0.3479498280536133
2019,5,DEN,0.3050448970705739
2019,6,NE,1.238638421948538
2019,6,BAL,1.058964043054845
2019,6,KC,1.01836082558373
2019,6,LAR,0.9659493780693341
2019,6,DAL,0.9502997171217777
2019,6,NO,0.9366138566418204
2019,6,LAC,0.867052736312269
2019,6,CAR,0.8660449428470163
2019,6,MIA,0.8535957906776639
2019,6,GB,0.8494496642849655
2019,6,MIN,0.8184435739126396
2019,6,SEA,0.8094502832996687
2019,6,ATL,0.7873447922764217
2019,6,TEN,0.7610431475955629
2019,6,DEN,0.6941925575382122
2019,6,ARI,0.6678909128573535
2019,6,CLE,0.6457854218341065
2019,6,PHI,0.6367921312211355
2019,6,DET,0.6057860408488096
2019,6,WAS,0.6016399144561112
2019,6,TB,0.5891907622867588
2019,6,PIT,0.5881829688215061
2019,6,JAX,0.5186218484919548
2019,6,NYJ,0.5049359880119973
2019,6,SF,0.489286327064441
2019,6,HOU,0.4368748795500451
2019,6,CIN,0.39627166207893
2019,6,NYG,0.2165972831852371
2019,7,NE,1.7998506282338071
2019,7,GB,1.4173366264499916
2019,7,NYG,1.386586203649704
2019,7,SEA,1.3730903684907232
2019,7,IND,1.2940505181262187
2019,7,MIA,1.2743543679735005
2019,7,KC,1.268964184758316
2019,7,TEN,1.2237014623880456
2019,7,DAL,1.2099708685751231
2019,7,LAR,1.1981860271060587
2019,7,WAS,1.181925774004453
2019,7,JAX,1.1539364410515964
2019,7,MIN,1.1380739212919857
2019,7,NO,1.1189930782364395
2019,7,CHI,1.0783197882473854
2019,7,DET,1.0592389451918394
2019,7,CIN,1.0433764254322284
2019,7,SF,1.0153870924793718
2019,7,ATL,0.9991268393777664
2019,7,PHI,0.9873419979087019
2019,7,LAC,0.9736114040957795
2019,7,DEN,0.9283486817255091
2019,7,BUF,0.9229584985103244
2019,7,HOU,0.9032623483576062
2019,7,BAL,0.8242224979931019
2019,7,ARI,0.810726662834121
2019,7,OAK,0.7799762400338335
2019,7,NYJ,0.3974622382500179
