date,season,team1,team2,elo_team1,elo_team2,prob_team1,prob_team2
12/10/1922,1922,ARI,CHI,1532.446,1668.89,0.398608903,0.601391097
9/30/1923,1923,MIL,OOR,1394.266,1407.927,0.573349681,0.426650319
9/30/1923,1923,ARI,BFF,1542.38,1557.657,0.571072581,0.428927419
9/30/1923,1923,RII,CHI,1557.347,1595.177,0.539021261,0.460978739
9/30/1923,1923,GB,MNN,1502.192,1464.532,0.643585032,0.356414968
9/30/1923,1923,DAY,COL,1513.724,1358.787,0.780067392,0.219932608
9/30/1923,1923,CBD,HAM,1645.539,1417.251,0.844000652,0.155999348
9/30/1923,1923,DUL,AKR,1300,1512.692,0.299394367,0.700605633
9/30/1923,1923,RAC,TOL,1477.914,1519.931,0.533027036,0.466972964
10/7/1923,1923,BFF,AKR,1546.028,1491.869,0.665061892,0.334938108
10/7/1923,1923,RAC,CHI,1476.907,1582.552,0.441772528,0.558227472
10/7/1923,1923,RII,CIB,1569.972,1300,0.87305602,0.12694398
10/7/1923,1923,ARI,RCH,1554.01,1446.493,0.729697366,0.270302634
10/7/1923,1923,GB,SLA,1519.66,1300,0.837349073,0.162650927
10/7/1923,1923,MIL,COL,1414.986,1356.015,0.671203741,0.328796259
10/7/1923,1923,CBD,LOU,1653.496,1414.601,0.851872092,0.148127908
10/7/1923,1923,HAM,DAY,1409.294,1516.496,0.439563381,0.560436619
10/7/1923,1923,MNN,DUL,1447.063,1320.823,0.75042232,0.24957768
10/7/1923,1923,TOL,OOR,1520.938,1387.207,0.758411014,0.241588986
10/14/1923,1923,COL,BFF,1361.236,1560.66,0.315656206,0.684343794
10/14/1923,1923,RII,RCH,1558.594,1425.886,0.757330393,0.242669607
10/14/1923,1923,GB,CHI,1509.372,1594.578,0.470953969,0.529046031
10/14/1923,1923,MIL,RAC,1409.765,1464.881,0.514220383,0.485779617
10/14/1923,1923,CBD,DAY,1662.965,1492.732,0.79480075,0.20519925
10/14/1923,1923,SLA,HAM,1310.289,1433.058,0.417621491,0.582378509
10/14/1923,1923,ARI,AKR,1574.618,1477.237,0.718035974,0.281964026
10/14/1923,1923,MNN,OOR,1407.648,1377.992,0.632947766,0.367052234
10/21/1923,1923,CHI,CBD,1607.517,1675.697,0.49542374,0.50457626
10/21/1923,1923,TOL,DAY,1530.153,1480,0.659905686,0.340094314
10/21/1923,1923,CIB,SLA,1311.378,1312.801,0.590486918,0.409513082
10/21/1923,1923,COL,LOU,1352.988,1405.132,0.518492832,0.481507168
10/21/1923,1923,BFF,OOR,1568.907,1355.624,0.832287359,0.167712641
10/21/1923,1923,GB,MIL,1496.433,1409.331,0.705903271,0.294096729
10/21/1923,1923,ARI,MNN,1590.35,1430.016,0.785351027,0.214648973
10/21/1923,1923,RAC,AKR,1465.314,1461.504,0.597750813,0.402249187
10/21/1923,1923,DUL,HAM,1360.238,1430.545,0.492363207,0.507636793
10/28/1923,1923,DUL,MNN,1374.346,1421.05,0.526305749,0.473694251
10/28/1923,1923,CIB,OOR,1326.868,1343.534,0.569112935,0.430887065
10/28/1923,1923,GB,RAC,1510.544,1473.885,0.642262184,0.357737816
10/28/1923,1923,MIL,SLA,1395.22,1297.311,0.718650926,0.281349074
10/28/1923,1923,TOL,COL,1539.114,1387.028,0.77723883,0.22276117
10/28/1923,1923,ARI,DAY,1599.317,1471.04,0.752611996,0.247388004
10/28/1923,1923,CBD,AKR,1694.95,1452.934,0.854124838,0.145875162
